"cluster_id","state","treated","period","post","remoteness_index","n_surveyed","n_using_modern_method","mCPR_pct"
"CL-023","Lagos",0,"2023_wave0_pre",0,8.7,163,20,12.27
"CL-023","Lagos",0,"2024_wave1_pre",0,8.7,225,20,8.89
"CL-023","Lagos",0,"2025_wave2_post",1,8.7,149,24,16.11
"CL-024","Lagos",0,"2023_wave0_pre",0,7.4,191,78,40.84
"CL-024","Lagos",0,"2024_wave1_pre",0,7.4,140,53,37.86
"CL-024","Lagos",0,"2025_wave2_post",1,7.4,151,67,44.37
"CL-025","Kano",1,"2023_wave0_pre",0,2.4,166,39,23.49
"CL-025","Kano",1,"2024_wave1_pre",0,2.4,187,45,24.06
"CL-025","Kano",1,"2025_wave2_post",1,2.4,158,44,27.85
"CL-026","Kano",1,"2023_wave0_pre",0,7.8,226,68,30.09
"CL-026","Kano",1,"2024_wave1_pre",0,7.8,166,61,36.75
"CL-026","Kano",1,"2025_wave2_post",1,7.8,190,78,41.05
"CL-027","Kano",1,"2023_wave0_pre",0,2.7,190,76,40
"CL-027","Kano",1,"2024_wave1_pre",0,2.7,142,51,35.92
"CL-027","Kano",1,"2025_wave2_post",1,2.7,145,66,45.52
"CL-028","Kano",1,"2023_wave0_pre",0,8.4,133,35,26.32
"CL-028","Kano",1,"2024_wave1_pre",0,8.4,165,49,29.7
"CL-028","Kano",1,"2025_wave2_post",1,8.4,200,69,34.5
"CL-029","Kano",1,"2023_wave0_pre",0,5,214,54,25.23
"CL-029","Kano",1,"2024_wave1_pre",0,5,238,57,23.95
"CL-029","Kano",1,"2025_wave2_post",1,5,143,49,34.27
"CL-030","Kano",1,"2023_wave0_pre",0,4.4,178,63,35.39
"CL-030","Kano",1,"2024_wave1_pre",0,4.4,175,72,41.14
"CL-030","Kano",1,"2025_wave2_post",1,4.4,190,84,44.21
"CL-031","Kano",1,"2023_wave0_pre",0,6.3,186,27,14.52
"CL-031","Kano",1,"2024_wave1_pre",0,6.3,166,31,18.67
"CL-031","Kano",1,"2025_wave2_post",1,6.3,177,68,38.42
"CL-032","Kano",1,"2023_wave0_pre",0,6.1,215,62,28.84
"CL-032","Kano",1,"2024_wave1_pre",0,6.1,206,51,24.76
"CL-032","Kano",1,"2025_wave2_post",1,6.1,182,53,29.12
"CL-033","Kano",1,"2023_wave0_pre",0,9.2,190,34,17.89
"CL-033","Kano",1,"2024_wave1_pre",0,9.2,163,55,33.74
"CL-033","Kano",1,"2025_wave2_post",1,9.2,228,78,34.21
"CL-034","Kano",1,"2023_wave0_pre",0,4.4,244,62,25.41
"CL-034","Kano",1,"2024_wave1_pre",0,4.4,186,43,23.12
"CL-034","Kano",1,"2025_wave2_post",1,4.4,178,55,30.9
"CL-035","Kano",1,"2023_wave0_pre",0,1.9,167,39,23.35
"CL-035","Kano",1,"2024_wave1_pre",0,1.9,187,45,24.06
"CL-035","Kano",1,"2025_wave2_post",1,1.9,180,68,37.78
"CL-036","Kano",1,"2023_wave0_pre",0,9.5,189,55,29.1
"CL-036","Kano",1,"2024_wave1_pre",0,9.5,170,54,31.76
"CL-036","Kano",1,"2025_wave2_post",1,9.5,171,62,36.26
"CL-037","Kano",0,"2023_wave0_pre",0,1.9,192,53,27.6
"CL-037","Kano",0,"2024_wave1_pre",0,1.9,171,48,28.07
"CL-037","Kano",0,"2025_wave2_post",1,1.9,199,53,26.63
"CL-038","Kano",0,"2023_wave0_pre",0,6.8,200,34,17
"CL-038","Kano",0,"2024_wave1_pre",0,6.8,222,48,21.62
"CL-038","Kano",0,"2025_wave2_post",1,6.8,215,42,19.53
"CL-039","Kano",0,"2023_wave0_pre",0,7.8,201,75,37.31
"CL-039","Kano",0,"2024_wave1_pre",0,7.8,176,49,27.84
"CL-039","Kano",0,"2025_wave2_post",1,7.8,155,54,34.84
"CL-040","Kano",0,"2023_wave0_pre",0,6.4,194,26,13.4
"CL-040","Kano",0,"2024_wave1_pre",0,6.4,234,35,14.96
"CL-040","Kano",0,"2025_wave2_post",1,6.4,187,35,18.72
"CL-041","Kano",0,"2023_wave0_pre",0,3.4,149,31,20.81
"CL-041","Kano",0,"2024_wave1_pre",0,3.4,175,22,12.57
"CL-041","Kano",0,"2025_wave2_post",1,3.4,139,28,20.14
"CL-042","Kano",0,"2023_wave0_pre",0,7.5,170,60,35.29
"CL-042","Kano",0,"2024_wave1_pre",0,7.5,174,62,35.63
"CL-042","Kano",0,"2025_wave2_post",1,7.5,219,62,28.31
"CL-043","Kano",0,"2023_wave0_pre",0,4.1,182,22,12.09
"CL-043","Kano",0,"2024_wave1_pre",0,4.1,165,30,18.18
"CL-043","Kano",0,"2025_wave2_post",1,4.1,192,29,15.1
"CL-044","Kano",0,"2023_wave0_pre",0,7,168,40,23.81
"CL-044","Kano",0,"2024_wave1_pre",0,7,108,25,23.15
"CL-044","Kano",0,"2025_wave2_post",1,7,218,53,24.31
"CL-045","Kano",0,"2023_wave0_pre",0,7.3,188,31,16.49
"CL-045","Kano",0,"2024_wave1_pre",0,7.3,133,23,17.29
"CL-045","Kano",0,"2025_wave2_post",1,7.3,168,40,23.81
"CL-046","Kano",0,"2023_wave0_pre",0,8.6,160,44,27.5
"CL-046","Kano",0,"2024_wave1_pre",0,8.6,178,53,29.78
"CL-046","Kano",0,"2025_wave2_post",1,8.6,187,64,34.22
"CL-047","Kano",0,"2023_wave0_pre",0,2.7,203,67,33
"CL-047","Kano",0,"2024_wave1_pre",0,2.7,162,48,29.63
"CL-047","Kano",0,"2025_wave2_post",1,2.7,210,57,27.14
"CL-048","Kano",0,"2023_wave0_pre",0,8.4,185,49,26.49
"CL-048","Kano",0,"2024_wave1_pre",0,8.4,219,43,19.63
"CL-048","Kano",0,"2025_wave2_post",1,8.4,194,41,21.13
"CL-049","Kaduna",1,"2023_wave0_pre",0,2.3,194,56,28.87
"CL-049","Kaduna",1,"2024_wave1_pre",0,2.3,188,60,31.91
"CL-049","Kaduna",1,"2025_wave2_post",1,2.3,202,69,34.16
"CL-050","Kaduna",1,"2023_wave0_pre",0,5.4,174,33,18.97
"CL-050","Kaduna",1,"2024_wave1_pre",0,5.4,167,53,31.74
"CL-050","Kaduna",1,"2025_wave2_post",1,5.4,212,58,27.36
"CL-051","Kaduna",1,"2023_wave0_pre",0,4,163,31,19.02
"CL-051","Kaduna",1,"2024_wave1_pre",0,4,206,47,22.82
"CL-051","Kaduna",1,"2025_wave2_post",1,4,172,48,27.91
"CL-052","Kaduna",1,"2023_wave0_pre",0,6.1,216,53,24.54
"CL-052","Kaduna",1,"2024_wave1_pre",0,6.1,162,42,25.93
"CL-052","Kaduna",1,"2025_wave2_post",1,6.1,183,61,33.33
"CL-053","Kaduna",1,"2023_wave0_pre",0,3.5,158,37,23.42
"CL-053","Kaduna",1,"2024_wave1_pre",0,3.5,184,48,26.09
"CL-053","Kaduna",1,"2025_wave2_post",1,3.5,182,57,31.32
"CL-054","Kaduna",1,"2023_wave0_pre",0,5.5,160,44,27.5
"CL-054","Kaduna",1,"2024_wave1_pre",0,5.5,196,46,23.47
"CL-054","Kaduna",1,"2025_wave2_post",1,5.5,169,49,28.99
"CL-055","Kaduna",1,"2023_wave0_pre",0,2.5,163,36,22.09
"CL-055","Kaduna",1,"2024_wave1_pre",0,2.5,181,42,23.2
"CL-055","Kaduna",1,"2025_wave2_post",1,2.5,129,36,27.91
"CL-056","Kaduna",1,"2023_wave0_pre",0,1,226,49,21.68
"CL-056","Kaduna",1,"2024_wave1_pre",0,1,174,41,23.56
"CL-056","Kaduna",1,"2025_wave2_post",1,1,166,53,31.93
"CL-057","Kaduna",1,"2023_wave0_pre",0,8.1,177,35,19.77
"CL-057","Kaduna",1,"2024_wave1_pre",0,8.1,173,33,19.08
"CL-057","Kaduna",1,"2025_wave2_post",1,8.1,218,44,20.18
"CL-058","Kaduna",1,"2023_wave0_pre",0,0.6,208,51,24.52
"CL-058","Kaduna",1,"2024_wave1_pre",0,0.6,171,38,22.22
"CL-058","Kaduna",1,"2025_wave2_post",1,0.6,238,73,30.67
"CL-059","Kaduna",1,"2023_wave0_pre",0,3.2,154,43,27.92
"CL-059","Kaduna",1,"2024_wave1_pre",0,3.2,217,63,29.03
"CL-059","Kaduna",1,"2025_wave2_post",1,3.2,155,57,36.77
"CL-060","Kaduna",1,"2023_wave0_pre",0,3.1,169,34,20.12
"CL-060","Kaduna",1,"2024_wave1_pre",0,3.1,180,44,24.44
"CL-060","Kaduna",1,"2025_wave2_post",1,3.1,164,59,35.98
"CL-061","Kaduna",0,"2023_wave0_pre",0,5.3,176,49,27.84
"CL-061","Kaduna",0,"2024_wave1_pre",0,5.3,157,29,18.47
"CL-061","Kaduna",0,"2025_wave2_post",1,5.3,128,29,22.66
"CL-062","Kaduna",0,"2023_wave0_pre",0,2.9,196,46,23.47
"CL-062","Kaduna",0,"2024_wave1_pre",0,2.9,167,38,22.75
"CL-062","Kaduna",0,"2025_wave2_post",1,2.9,187,48,25.67
"CL-063","Kaduna",0,"2023_wave0_pre",0,5.5,172,45,26.16
"CL-063","Kaduna",0,"2024_wave1_pre",0,5.5,155,37,23.87
"CL-063","Kaduna",0,"2025_wave2_post",1,5.5,167,41,24.55
"CL-064","Kaduna",0,"2023_wave0_pre",0,9.9,197,28,14.21
"CL-064","Kaduna",0,"2024_wave1_pre",0,9.9,191,39,20.42
"CL-064","Kaduna",0,"2025_wave2_post",1,9.9,149,39,26.17
"CL-065","Kaduna",0,"2023_wave0_pre",0,0.3,183,28,15.3
"CL-065","Kaduna",0,"2024_wave1_pre",0,0.3,173,30,17.34
"CL-065","Kaduna",0,"2025_wave2_post",1,0.3,173,41,23.7
"CL-066","Kaduna",0,"2023_wave0_pre",0,0.5,185,56,30.27
"CL-066","Kaduna",0,"2024_wave1_pre",0,0.5,187,63,33.69
"CL-066","Kaduna",0,"2025_wave2_post",1,0.5,156,50,32.05
"CL-067","Kaduna",0,"2023_wave0_pre",0,6.4,233,14,6.01
"CL-067","Kaduna",0,"2024_wave1_pre",0,6.4,188,17,9.04
"CL-067","Kaduna",0,"2025_wave2_post",1,6.4,204,27,13.24
"CL-068","Kaduna",0,"2023_wave0_pre",0,9,163,41,25.15
"CL-068","Kaduna",0,"2024_wave1_pre",0,9,104,34,32.69
"CL-068","Kaduna",0,"2025_wave2_post",1,9,191,57,29.84
"CL-069","Kaduna",0,"2023_wave0_pre",0,9.3,204,44,21.57
"CL-069","Kaduna",0,"2024_wave1_pre",0,9.3,158,32,20.25
"CL-069","Kaduna",0,"2025_wave2_post",1,9.3,183,42,22.95
"CL-070","Kaduna",0,"2023_wave0_pre",0,0.5,207,46,22.22
"CL-070","Kaduna",0,"2024_wave1_pre",0,0.5,234,79,33.76
"CL-070","Kaduna",0,"2025_wave2_post",1,0.5,203,49,24.14
"CL-071","Kaduna",0,"2023_wave0_pre",0,4.9,222,51,22.97
"CL-071","Kaduna",0,"2024_wave1_pre",0,4.9,185,44,23.78
"CL-071","Kaduna",0,"2025_wave2_post",1,4.9,193,54,27.98
"CL-072","Kaduna",0,"2023_wave0_pre",0,7.5,188,45,23.94
"CL-072","Kaduna",0,"2024_wave1_pre",0,7.5,176,46,26.14
"CL-072","Kaduna",0,"2025_wave2_post",1,7.5,121,26,21.49
"CL-073","Rivers",1,"2023_wave0_pre",0,2.2,186,81,43.55
"CL-073","Rivers",1,"2024_wave1_pre",0,2.2,193,79,40.93
"CL-073","Rivers",1,"2025_wave2_post",1,2.2,187,82,43.85
"CL-074","Rivers",1,"2023_wave0_pre",0,2.6,184,34,18.48
"CL-074","Rivers",1,"2024_wave1_pre",0,2.6,194,33,17.01
"CL-074","Rivers",1,"2025_wave2_post",1,2.6,193,57,29.53
"CL-075","Rivers",1,"2023_wave0_pre",0,9.1,198,66,33.33
"CL-075","Rivers",1,"2024_wave1_pre",0,9.1,147,53,36.05
"CL-075","Rivers",1,"2025_wave2_post",1,9.1,188,77,40.96
"CL-076","Rivers",1,"2023_wave0_pre",0,1.6,195,17,8.72
"CL-076","Rivers",1,"2024_wave1_pre",0,1.6,180,35,19.44
"CL-076","Rivers",1,"2025_wave2_post",1,1.6,165,47,28.48
"CL-077","Rivers",1,"2023_wave0_pre",0,6,173,71,41.04
"CL-077","Rivers",1,"2024_wave1_pre",0,6,198,90,45.45
"CL-077","Rivers",1,"2025_wave2_post",1,6,183,83,45.36
"CL-078","Rivers",1,"2023_wave0_pre",0,2.2,202,48,23.76
"CL-078","Rivers",1,"2024_wave1_pre",0,2.2,186,46,24.73
"CL-078","Rivers",1,"2025_wave2_post",1,2.2,176,60,34.09
"CL-079","Rivers",1,"2023_wave0_pre",0,8.4,195,31,15.9
"CL-079","Rivers",1,"2024_wave1_pre",0,8.4,174,36,20.69
"CL-079","Rivers",1,"2025_wave2_post",1,8.4,151,44,29.14
"CL-080","Rivers",1,"2023_wave0_pre",0,9.3,198,74,37.37
"CL-080","Rivers",1,"2024_wave1_pre",0,9.3,174,56,32.18
"CL-080","Rivers",1,"2025_wave2_post",1,9.3,229,81,35.37
"CL-081","Rivers",1,"2023_wave0_pre",0,5.9,250,46,18.4
"CL-081","Rivers",1,"2024_wave1_pre",0,5.9,154,27,17.53
"CL-081","Rivers",1,"2025_wave2_post",1,5.9,141,35,24.82
"CL-082","Rivers",1,"2023_wave0_pre",0,9.1,187,64,34.22
"CL-082","Rivers",1,"2024_wave1_pre",0,9.1,172,57,33.14
"CL-082","Rivers",1,"2025_wave2_post",1,9.1,163,64,39.26
"CL-083","Rivers",1,"2023_wave0_pre",0,7.3,167,25,14.97
"CL-083","Rivers",1,"2024_wave1_pre",0,7.3,190,34,17.89
"CL-083","Rivers",1,"2025_wave2_post",1,7.3,210,49,23.33
"CL-084","Rivers",1,"2023_wave0_pre",0,5.5,191,19,9.95
"CL-084","Rivers",1,"2024_wave1_pre",0,5.5,163,29,17.79
"CL-084","Rivers",1,"2025_wave2_post",1,5.5,139,24,17.27
"CL-085","Rivers",0,"2023_wave0_pre",0,9.3,173,43,24.86
"CL-085","Rivers",0,"2024_wave1_pre",0,9.3,181,50,27.62
"CL-085","Rivers",0,"2025_wave2_post",1,9.3,197,42,21.32
"CL-086","Rivers",0,"2023_wave0_pre",0,5,161,40,24.84
"CL-086","Rivers",0,"2024_wave1_pre",0,5,186,66,35.48
"CL-086","Rivers",0,"2025_wave2_post",1,5,172,48,27.91
"CL-087","Rivers",0,"2023_wave0_pre",0,7.4,171,51,29.82
"CL-087","Rivers",0,"2024_wave1_pre",0,7.4,204,50,24.51
"CL-087","Rivers",0,"2025_wave2_post",1,7.4,171,27,15.79
"CL-088","Rivers",0,"2023_wave0_pre",0,1.3,183,41,22.4
"CL-088","Rivers",0,"2024_wave1_pre",0,1.3,140,27,19.29
"CL-088","Rivers",0,"2025_wave2_post",1,1.3,132,35,26.52
"CL-089","Rivers",0,"2023_wave0_pre",0,6.5,204,60,29.41
"CL-089","Rivers",0,"2024_wave1_pre",0,6.5,183,46,25.14
"CL-089","Rivers",0,"2025_wave2_post",1,6.5,162,46,28.4
"CL-090","Rivers",0,"2023_wave0_pre",0,0.8,189,58,30.69
"CL-090","Rivers",0,"2024_wave1_pre",0,0.8,205,86,41.95
"CL-090","Rivers",0,"2025_wave2_post",1,0.8,190,73,38.42
"CL-091","Rivers",0,"2023_wave0_pre",0,2.5,159,18,11.32
"CL-091","Rivers",0,"2024_wave1_pre",0,2.5,188,18,9.57
"CL-091","Rivers",0,"2025_wave2_post",1,2.5,170,23,13.53
"CL-092","Rivers",0,"2023_wave0_pre",0,2,176,74,42.05
"CL-092","Rivers",0,"2024_wave1_pre",0,2,133,54,40.6
"CL-092","Rivers",0,"2025_wave2_post",1,2,210,92,43.81
"CL-093","Rivers",0,"2023_wave0_pre",0,7.2,142,34,23.94
"CL-093","Rivers",0,"2024_wave1_pre",0,7.2,178,45,25.28
"CL-093","Rivers",0,"2025_wave2_post",1,7.2,182,34,18.68
"CL-094","Rivers",0,"2023_wave0_pre",0,9,175,56,32
"CL-094","Rivers",0,"2024_wave1_pre",0,9,212,75,35.38
"CL-094","Rivers",0,"2025_wave2_post",1,9,180,71,39.44
"CL-095","Rivers",0,"2023_wave0_pre",0,3.4,147,19,12.93
"CL-095","Rivers",0,"2024_wave1_pre",0,3.4,155,11,7.1
"CL-095","Rivers",0,"2025_wave2_post",1,3.4,178,11,6.18
"CL-096","Rivers",0,"2023_wave0_pre",0,5.3,145,35,24.14
"CL-096","Rivers",0,"2024_wave1_pre",0,5.3,184,39,21.2
"CL-096","Rivers",0,"2025_wave2_post",1,5.3,190,43,22.63
"CL-097","Anambra",1,"2023_wave0_pre",0,9.9,204,49,24.02
"CL-097","Anambra",1,"2024_wave1_pre",0,9.9,162,40,24.69
"CL-097","Anambra",1,"2025_wave2_post",1,9.9,212,66,31.13
"CL-098","Anambra",1,"2023_wave0_pre",0,6.9,176,51,28.98
"CL-098","Anambra",1,"2024_wave1_pre",0,6.9,206,49,23.79
"CL-098","Anambra",1,"2025_wave2_post",1,6.9,201,64,31.84
"CL-099","Anambra",1,"2023_wave0_pre",0,6.3,180,23,12.78
"CL-099","Anambra",1,"2024_wave1_pre",0,6.3,209,25,11.96
"CL-099","Anambra",1,"2025_wave2_post",1,6.3,200,48,24
"CL-100","Anambra",1,"2023_wave0_pre",0,2.3,193,58,30.05
"CL-100","Anambra",1,"2024_wave1_pre",0,2.3,187,34,18.18
"CL-100","Anambra",1,"2025_wave2_post",1,2.3,219,61,27.85
"CL-101","Anambra",1,"2023_wave0_pre",0,2.1,169,48,28.4
"CL-101","Anambra",1,"2024_wave1_pre",0,2.1,192,47,24.48
"CL-101","Anambra",1,"2025_wave2_post",1,2.1,169,61,36.09
"CL-102","Anambra",1,"2023_wave0_pre",0,5.2,175,36,20.57
"CL-102","Anambra",1,"2024_wave1_pre",0,5.2,177,33,18.64
"CL-102","Anambra",1,"2025_wave2_post",1,5.2,179,61,34.08
"CL-103","Anambra",1,"2023_wave0_pre",0,9.5,166,47,28.31
"CL-103","Anambra",1,"2024_wave1_pre",0,9.5,234,65,27.78
"CL-103","Anambra",1,"2025_wave2_post",1,9.5,227,74,32.6
"CL-104","Anambra",1,"2023_wave0_pre",0,7.7,171,36,21.05
"CL-104","Anambra",1,"2024_wave1_pre",0,7.7,206,42,20.39
"CL-104","Anambra",1,"2025_wave2_post",1,7.7,168,48,28.57
"CL-105","Anambra",1,"2023_wave0_pre",0,3.2,154,60,38.96
"CL-105","Anambra",1,"2024_wave1_pre",0,3.2,147,55,37.41
"CL-105","Anambra",1,"2025_wave2_post",1,3.2,198,74,37.37
"CL-106","Anambra",1,"2023_wave0_pre",0,0.3,200,58,29
"CL-106","Anambra",1,"2024_wave1_pre",0,0.3,146,42,28.77
"CL-106","Anambra",1,"2025_wave2_post",1,0.3,188,73,38.83
"CL-107","Anambra",1,"2023_wave0_pre",0,0.6,195,13,6.67
"CL-107","Anambra",1,"2024_wave1_pre",0,0.6,180,25,13.89
"CL-107","Anambra",1,"2025_wave2_post",1,0.6,231,55,23.81
"CL-108","Anambra",1,"2023_wave0_pre",0,6.7,160,56,35
"CL-108","Anambra",1,"2024_wave1_pre",0,6.7,172,57,33.14
"CL-108","Anambra",1,"2025_wave2_post",1,6.7,220,90,40.91
"CL-109","Anambra",0,"2023_wave0_pre",0,1.5,225,62,27.56
"CL-109","Anambra",0,"2024_wave1_pre",0,1.5,186,46,24.73
"CL-109","Anambra",0,"2025_wave2_post",1,1.5,186,38,20.43
"CL-110","Anambra",0,"2023_wave0_pre",0,7.9,174,46,26.44
"CL-110","Anambra",0,"2024_wave1_pre",0,7.9,169,44,26.04
"CL-110","Anambra",0,"2025_wave2_post",1,7.9,195,32,16.41
"CL-111","Anambra",0,"2023_wave0_pre",0,5.2,172,31,18.02
"CL-111","Anambra",0,"2024_wave1_pre",0,5.2,166,38,22.89
"CL-111","Anambra",0,"2025_wave2_post",1,5.2,105,17,16.19
"CL-112","Anambra",0,"2023_wave0_pre",0,0.2,143,11,7.69
"CL-112","Anambra",0,"2024_wave1_pre",0,0.2,204,40,19.61
"CL-112","Anambra",0,"2025_wave2_post",1,0.2,178,33,18.54
"CL-113","Anambra",0,"2023_wave0_pre",0,3.3,181,37,20.44
"CL-113","Anambra",0,"2024_wave1_pre",0,3.3,203,50,24.63
"CL-113","Anambra",0,"2025_wave2_post",1,3.3,197,49,24.87
"CL-114","Anambra",0,"2023_wave0_pre",0,4.1,157,40,25.48
"CL-114","Anambra",0,"2024_wave1_pre",0,4.1,198,60,30.3
"CL-114","Anambra",0,"2025_wave2_post",1,4.1,242,79,32.64
"CL-115","Anambra",0,"2023_wave0_pre",0,6.8,189,15,7.94
"CL-115","Anambra",0,"2024_wave1_pre",0,6.8,179,28,15.64
"CL-115","Anambra",0,"2025_wave2_post",1,6.8,183,35,19.13
"CL-116","Anambra",0,"2023_wave0_pre",0,1.5,185,48,25.95
"CL-116","Anambra",0,"2024_wave1_pre",0,1.5,201,44,21.89
"CL-116","Anambra",0,"2025_wave2_post",1,1.5,196,45,22.96
"CL-117","Anambra",0,"2023_wave0_pre",0,4.1,201,40,19.9
"CL-117","Anambra",0,"2024_wave1_pre",0,4.1,141,33,23.4
"CL-117","Anambra",0,"2025_wave2_post",1,4.1,182,38,20.88
"CL-118","Anambra",0,"2023_wave0_pre",0,0.9,163,54,33.13
"CL-118","Anambra",0,"2024_wave1_pre",0,0.9,146,45,30.82
"CL-118","Anambra",0,"2025_wave2_post",1,0.9,149,47,31.54
"CL-119","Anambra",0,"2023_wave0_pre",0,0.3,138,42,30.43
"CL-119","Anambra",0,"2024_wave1_pre",0,0.3,209,77,36.84
"CL-119","Anambra",0,"2025_wave2_post",1,0.3,182,74,40.66
"CL-120","Anambra",0,"2023_wave0_pre",0,4.5,190,29,15.26
"CL-120","Anambra",0,"2024_wave1_pre",0,4.5,169,32,18.93
"CL-120","Anambra",0,"2025_wave2_post",1,4.5,196,31,15.82
"CL-121","Oyo",1,"2023_wave0_pre",0,3.9,191,72,37.7
"CL-121","Oyo",1,"2024_wave1_pre",0,3.9,187,70,37.43
"CL-121","Oyo",1,"2025_wave2_post",1,3.9,187,84,44.92
"CL-122","Oyo",1,"2023_wave0_pre",0,7.5,212,79,37.26
"CL-122","Oyo",1,"2024_wave1_pre",0,7.5,226,84,37.17
"CL-122","Oyo",1,"2025_wave2_post",1,7.5,198,83,41.92
"CL-123","Oyo",1,"2023_wave0_pre",0,9.6,176,47,26.7
"CL-123","Oyo",1,"2024_wave1_pre",0,9.6,170,57,33.53
"CL-123","Oyo",1,"2025_wave2_post",1,9.6,180,54,30
"CL-124","Oyo",1,"2023_wave0_pre",0,4.9,192,53,27.6
"CL-124","Oyo",1,"2024_wave1_pre",0,4.9,154,42,27.27
